"r_hn_true","r_hr_true","r_hn_err","r_hr_err","diff_hn","diff_hr","aic_hn_true","aic_hr_true","aic_hn_err","aic_hr_err"
7.76501610339391,6.6670554696681,8.0657430256411,7.26848057357327,0.300726922247183,0.601425103905169,921.063279848254,870.127963041518,922.342143428159,879.896625535975
7.62577965206923,7.06638996017503,7.9414239644221,7.70439881342374,0.315644312352875,0.638008853248706,917.423975958827,889.216894843509,923.672308799237,902.79737485111
6.84152912898508,6.15410914546901,7.11424703397714,6.70659792891495,0.272717904992067,0.552488783445935,898.319480996598,851.636352902419,901.739522704181,862.935305765086
7.73164289835695,6.77088537633926,8.03067274036071,7.27959670258508,0.299029842003755,0.508711326245826,921.994125016508,859.583523241656,926.770073549234,868.720800026956
7.64652325685815,6.58126839820136,7.88608108869837,7.23300506550742,0.239557831840215,0.65173666730607,929.637988827301,881.2407377316,928.401071008377,891.869458066993
7.62412483164296,6.57768753400129,7.8827268506497,7.07822613645572,0.258602019006737,0.500538602454426,885.479512068955,840.337591914426,886.581508762817,848.427090788349
7.20842271870888,6.1294339160063,7.55080887413912,6.74047872178961,0.342386155430237,0.611044805783315,926.331399684181,857.62939651997,933.817020134856,872.352871495441
6.91387164784712,6.61754263563324,7.19693468828111,7.09155162635206,0.283063040433997,0.474008990718827,849.363865219165,817.762913731907,856.407978488479,828.218943159072
6.73806988612722,6.11067286123618,7.05452782021805,6.63837362515879,0.316457934090827,0.527700763922607,863.69277866307,801.960575613574,874.689701155726,819.583543595423
7.47038144646506,6.34893320446365,7.73014340740779,6.7176422550778,0.259761960942731,0.368709050614152,936.909474520815,869.902419672495,942.703242794498,880.37807807501
7.93151111543527,7.07528607485167,8.21505085085892,7.58178537287715,0.283539735423652,0.506499298025483,942.407642457292,904.724029647814,946.088635662108,911.826958426892
7.5882211608286,6.79997301953928,7.86916612790786,7.5077654966917,0.28094496707926,0.707792477152421,917.410352292494,893.74277251046,923.425199177152,905.139073289788
9.25866228788392,6.99103752518524,9.50035982059853,7.50554623610861,0.241697532714614,0.514508710923373,992.240652320263,922.89786632654,994.693620766328,933.43830747493
7.43575239130374,6.88560518462946,7.7904372210822,7.53895790432524,0.354684829778462,0.65335271969577,919.4466736646,872.471788489568,927.367755576766,887.84609256604
7.70056663973093,6.29519760118537,8.01635418622363,6.77998104934029,0.315787546492695,0.484783448154913,945.377944655555,882.962266621582,951.747273717667,897.201034397998
6.91471472843572,6.20668359271328,7.27430020351904,6.80120344818205,0.359585475083318,0.594519855468769,873.456090666956,817.727814436685,885.489465143879,839.428787809587
7.68426812971367,6.3128292286385,8.02279810574834,6.81356179436112,0.338529976034669,0.500732565722624,966.748519800281,877.403987402858,977.980597822477,897.939115578802
7.78348328984166,6.69738395060039,8.07639525402176,7.18742067084647,0.292911964180106,0.490036720246078,918.720812601919,852.493108694634,923.180364149285,862.819980943031
7.85769768505024,6.99684735871176,8.07525200715256,7.44935360221317,0.217554322102315,0.452506243501406,877.959379628895,828.411110244519,879.252640895996,838.021628970634
8.96314835005684,7.03211690020054,9.1896424108476,7.44902146516571,0.22649406079076,0.416904564965161,1017.23793431508,950.770041201631,1019.69341354619,959.333601458486
7.20823026647945,6.35149420723549,7.5081743658742,6.87021652294643,0.299944099394749,0.518722315710945,900.82130676043,853.392470955374,908.079844168325,870.86539634955
7.940025821449,6.82806546195118,8.19847142729176,7.45123297903518,0.258445605842764,0.623167517084005,966.329748969434,909.033602394192,967.892268669224,921.581696035574
7.64360119192567,6.42447358900098,7.92941598815407,6.95430367810598,0.285814796228398,0.529830089104998,922.600953786843,855.753762555329,925.766728326158,866.785561936684
7.34764531678799,6.2751242368794,7.65834604795119,6.83428772637902,0.310700731163197,0.559163489499614,903.747857468894,864.588168070633,909.85286235106,877.267286986569
8.25779114531715,7.101163872255,8.49622746120439,7.62617384883749,0.238436315887235,0.525009976582494,911.586812178335,865.223776071513,910.421690656827,875.083968998805
7.93953993076314,6.9808143262682,8.21246082690446,7.52779391617336,0.272920896141322,0.546979589905153,888.197062624619,842.59690234784,891.938837005129,851.998066144646
7.07500012069405,6.1187902633278,7.33812292429957,6.57392187173564,0.263122803605524,0.455131608407839,825.17651863347,765.78124813443,828.563571187399,775.59858202959
7.81824771090916,7.0880605902094,8.08077622688434,7.64872468359641,0.262528515975175,0.560664093387004,919.880794697314,873.013132176368,920.771550228512,879.25942147763
7.76916252435768,7.0697809829307,8.07535212248511,7.67447986881958,0.306189598127429,0.604698885888876,926.849445172129,892.968204478686,930.820546617996,900.262459413838
7.31605862323045,6.73188691145919,7.63418246610573,7.28611391828719,0.318123842875279,0.554227006828002,867.403255265161,812.18298514707,876.108956508513,829.749298753446
7.70105268102046,6.77100890242616,7.94727430315907,7.29434060747322,0.246221622138615,0.523331705047063,858.104037958374,817.991431815552,859.92121887432,824.005677914136
7.06153644218393,6.42070978166476,7.40468270328903,7.12162310550366,0.343146261105096,0.700913323838898,856.28921914124,804.621908015177,859.137425407166,816.371075243793
7.00463068415153,6.35546008207312,7.26291546535389,6.94859835930544,0.258284781202359,0.59313827723232,824.001702966736,765.772261924744,824.960518592044,773.508655419404
7.93575443787326,6.87078553480071,8.21634713512413,7.47010094454869,0.280592697250875,0.599315409747977,880.941109016436,830.066919484989,884.488942380667,842.445730402088
7.42286537646838,6.10730349292508,7.66714153480063,6.55182698925681,0.244276158332256,0.444523496331728,973.367569010057,900.014931101235,977.463233272263,913.993704992914
