"r_hn_true","r_hr_true","r_hn_err","r_hr_err","diff_hn","diff_hr","aic_hn_true","aic_hr_true","aic_hn_err","aic_hr_err"
8.20741120814874,6.40555702417251,8.47184330398606,6.89092694508924,0.264432095837314,0.485369920916727,486.003501969196,443.312848249606,486.067106839649,449.197058428995
6.77738001962276,5.85191615976381,7.09146899141187,6.41574749612101,0.314088971789115,0.563831336357202,446.450346322328,426.052829156125,450.830570222947,432.476607532758
7.72128785764984,5.81499722914887,8.03828295939169,6.24481002852284,0.316995101741854,0.429812799373971,477.038512016037,413.437398951837,481.434912764574,423.263433731637
6.92020549497819,6.69948651653251,7.18848090859286,7.39416629272448,0.268275413614676,0.694679776191975,431.944749102673,423.034039721099,433.866994542716,426.020211543438
8.65025530002489,7.28892522400837,8.9134515835756,7.98718390516444,0.263196283550716,0.698258681156068,447.595603677195,433.233221817821,448.931300666119,437.157297380352
7.39544357510975,6.71571352000375,7.67403823136738,7.23952887953863,0.278594656257623,0.523815359534876,428.897287207127,409.956400547211,431.395674406995,416.551012165287
7.71192016898115,7.28808338616745,8.01682198090886,7.79693631627489,0.304901811927708,0.508852930107434,451.766373062829,437.240240626442,452.901430924832,441.103788885131
7.18504118217634,6.56879250738344,7.4946690966474,6.84750862675207,0.309627914471062,0.278716119368627,412.402507219921,388.172171068986,417.674957318912,392.892963785343
7.83076130896479,6.45727000222391,8.16198385019705,7.06895301973771,0.331222541232266,0.611683017513802,503.47683134699,466.279724695854,505.981938705654,474.999275435427
8.43147975219097,6.67291181084467,8.67927206559799,7.26753920263701,0.24779231340702,0.594627391792342,493.064593528188,461.506069587042,491.375102594833,463.732953461387
7.62690671151699,6.43865852294289,7.96387287211195,7.13571004227455,0.336966160594965,0.69705151933166,470.076489098655,442.474717582475,473.247968636508,450.077622396648
7.58744538431431,6.06089013082464,7.86260002478095,6.64377007495287,0.275154640466633,0.582879944128223,481.983283198465,433.144781978459,481.315051517728,436.428488186245
8.39307496203553,6.77041975588287,8.71823343451326,7.2570768876779,0.32515847247773,0.486657131795031,486.669609137626,447.98526257538,488.906141981605,456.1994626086
6.92731812211943,6.57723400369245,7.28185071017464,7.05038414491917,0.354532588055201,0.473150141226716,438.507683163445,423.263551098795,442.720534315688,428.586824036009
7.44781255279916,6.38952333009598,7.81684283818617,6.86363940759202,0.369030285387016,0.474116077496043,457.705520182834,423.233045134945,463.17691163488,432.205530637197
7.30650772548671,5.63535485789028,7.60540612800946,6.17409327028306,0.29889840252275,0.538738412392781,433.998528698549,385.207525919496,436.072896547928,392.006561839371
7.63885363061269,6.40211657213596,7.97232742581925,6.81902621110255,0.333473795206565,0.416909638966596,470.332551613636,438.072558765857,475.534588335126,444.686773004107
8.4093219291761,7.01832879740829,8.74448420900903,8.08245048176379,0.335162279832927,1.0641216843555,445.538158049435,426.55467579765,444.819327896408,429.967529126155
7.12570336486206,7.11211106522624,7.46160158434948,7.67308946778373,0.335898219487424,0.560978402557495,425.783593210164,412.627403970312,432.54259232701,420.568995150392
7.57190350727487,6.43484612702873,7.90457567983491,7.12387434572174,0.332672172560041,0.689028218693013,427.733867346481,410.235292564195,429.932812818669,414.958053176017
7.89023222339342,6.49695373949387,8.13729175545537,6.98151127066193,0.247059532061954,0.484557531168055,469.03067534064,439.390870845532,470.149631088496,444.686560830844
6.77760115848232,6.50626920196959,7.07615112780688,6.95148593440174,0.298549969324561,0.445216732432155,422.012909248697,402.196993925333,425.357852411906,409.197748677042
7.68425508019786,6.93837392422185,7.94884440918341,7.3850616273978,0.264589328985551,0.446687703175951,481.069426483903,466.373654047283,484.325394558494,471.210048696776
7.0023878689543,6.84702772562026,7.24378119147926,7.25469903952062,0.241393322524956,0.407671313900358,446.001691513877,424.493778392133,448.032332227244,427.142085128113
7.87965270454769,6.76918511419688,8.12959569353585,7.22570554027852,0.249942988988159,0.456520426081639,477.189987483868,435.42563546973,478.333471034731,440.800489255616
7.17229569044671,6.9911777550802,7.4494242268681,7.67494589229986,0.277128536421388,0.683768137219658,478.676006746877,462.701592685134,480.270347817698,466.57215818667
8.26973105251214,7.166591288458,8.58477067681082,7.84482707117658,0.315039624298675,0.678235782718575,471.604174511495,443.154663541129,471.577428326955,445.536505815536
7.43335024099877,6.63353849378769,7.73221705221951,7.17028361408833,0.298866811220742,0.536745120300632,462.89466511774,440.772072703927,466.030279556157,446.262768938256
7.34713184535662,6.00047724350077,7.53202743780583,6.45567222465187,0.184895592449204,0.455194981151097,462.507511385679,436.189865573864,464.954433422604,441.723222472036
7.55742670326505,6.34881080802487,7.8260321282738,6.86300079036364,0.268605425008751,0.51418998233877,443.314226349382,411.224045808037,445.90350848973,417.721851785757
8.0145820781169,6.35746201568987,8.3039824915264,7.04006213004022,0.289400413409499,0.682600114350356,491.261549563408,456.420804517815,492.435746719909,463.446291255696
8.01492609804488,6.70699622051275,8.35031049827934,7.25340684115025,0.335384400234458,0.546410620637507,514.148423549467,478.274324753647,516.256584650172,484.991723626572
6.74000997485485,6.58720419305124,7.01510100282134,6.93714158097931,0.275091027966491,0.34993738792807,442.330024399662,420.957110446353,447.673133444542,427.196784182936
7.06846332088635,6.92528156093876,7.4210710805785,7.64560840904242,0.352607759692153,0.720326848103657,454.535418042154,445.885615313381,458.867678423739,452.636338622431
6.81456153912548,5.44676769643905,7.12539740321482,6.1917378157332,0.310835864089348,0.744970119294151,469.897549898529,427.926974956254,471.207854111268,438.620872121756
