"X","r_hn_true","r_hr_true","r_hn_err","r_hr_err","diff_hn","diff_hr","aic_hn_true","aic_hr_true","aic_hn_err","aic_hr_err"
212,6.33680446850605,5.65644778574736,6.57522384319952,6.24162148759615,0.238419374693471,0.585173701848795,215.53020883611,202.71700342899,214.914671590204,205.125078920751
213,6.9462922146694,7.22625707632692,7.41443045194785,8.16394557845322,0.468138237278451,0.937688502126306,207.811716654511,205.002872398436,211.666608930635,209.086987204496
214,7.22719057370212,7.15255734132196,7.4797473294479,7.68558863403168,0.252556755745781,0.533031292709728,208.604044200867,196.500441075741,209.610937572477,199.527859805007
215,6.80960880671635,5.61610710788199,7.12278077600947,6.37744974940527,0.313171969293122,0.761342641523277,234.422222278795,214.384807188562,233.224510965087,217.720575696138
216,7.04707102238484,6.59104930150155,7.32689267710384,7.01052575051614,0.279821654718993,0.419476449014584,215.39668193076,195.193259723049,217.469884357812,198.958890475457
217,8.56279594519489,6.69117072024741,8.84973074600926,7.38283901275639,0.28693480081437,0.691668292508976,237.050636800487,222.071022043263,236.014586726168,224.801934977094
218,5.52335341728922,5.64145200229666,5.77546140273602,6.1499733030286,0.252107985446795,0.508521300731942,204.365303800774,194.58276930082,204.68240541587,195.783384678471
219,7.81344452654103,6.30356106462103,8.054324083687,6.80883211140207,0.240879557145968,0.505271046781042,223.990985101649,216.009791798421,224.611461463713,218.924717178111
220,9.11216210861519,7.18651283489368,9.41118549268738,7.58809824979013,0.299023384072196,0.401585414896445,266.774211433794,246.745395733674,267.675146681475,248.844302269052
221,8.74792102318974,7.16360704440361,9.05919957946928,7.70831048043676,0.31127855627954,0.544703436033141,251.501621044038,227.581924007161,252.38204285585,230.848955576294
222,8.58633079419743,7.50846875621756,8.85334490728146,8.19027116603123,0.267014113084029,0.68180240981367,256.224777041392,238.455641214823,256.171872852148,241.193225222199
223,7.59476475174397,6.3342598968707,7.86826542370799,6.86804336477531,0.273500671964017,0.53378346790462,246.462844193769,231.234260348552,248.333968726722,235.911461678257
224,6.84437721056979,6.68248763162082,7.18362567137813,7.16196667939089,0.33924846080834,0.479479047770067,238.842071456906,225.798875738932,242.213944501522,231.439056374979
225,7.13610196196628,6.71452769717519,7.38088020791105,7.3528421768703,0.244778245944778,0.638314479695108,220.032217730973,213.029656740026,220.094633620408,212.498147612107
226,6.632921054626,6.50695243517861,7.14267192558683,7.27278002781244,0.509750870960826,0.765827592633829,188.777904016004,185.455356658404,189.543411405648,187.425953150566
227,7.4838533272061,7.5277948828939,7.77838576811788,8.21168453852685,0.29453244091178,0.683889655632947,210.935240665067,209.544914709838,211.806657718832,210.952108225693
228,6.46053586697104,6.0947561703338,6.76126623691674,6.50874083776918,0.300730369945707,0.413984667435381,213.525124735646,204.55382112478,215.843354411557,208.537225643262
229,7.47541248713466,6.90322397596072,7.65890041052702,7.16088650362561,0.183487923392363,0.257662527664896,224.791290394276,214.353312998776,225.117468258483,214.471009998036
230,7.87621997831033,6.93937701267544,8.16726825322785,7.40363304402474,0.291048274917526,0.464256031349299,246.940480983952,236.590566342591,247.803815247585,238.910456180367
231,6.27528158576254,6.52696245501167,6.67199942759072,7.12306769105576,0.396717841828184,0.596105236044091,201.328579269049,197.827957631013,205.704723571675,203.142594746216
232,7.4438158364158,6.86898315731796,7.76481494025161,7.38193848497357,0.320999103835803,0.512955327655617,214.304132399268,210.790278542088,217.198780830473,213.671776332509
233,7.83513535686809,6.5696232656475,8.10550567362181,7.33685752560248,0.270370316753721,0.76723425995498,223.245421967094,201.718178401832,221.724429669562,200.849350886583
234,7.22907723595994,7.55958728838953,7.58709380917076,8.07538595431765,0.358016573210821,0.515798665928124,217.55189297161,206.656631249451,221.11493904133,209.687216012445
235,8.27902426100984,6.19578969110373,8.56722657935122,6.61594547119772,0.288202318341389,0.420155780093983,240.406082987689,207.707835370179,241.337742565835,211.631167637441
236,8.40115126157877,7.0885837313236,8.79313853609444,7.79380488445667,0.391987274515674,0.705221153133064,251.363523704496,233.069088597352,252.389063655566,237.561586925464
237,7.14906634208451,6.95513285349022,7.41159171344251,7.76394356896209,0.262525371357995,0.808810715471875,200.33326543429,195.280761324652,198.997584214066,193.447210852598
238,7.80902848031677,6.19791451457181,8.0306427361886,6.71919919930634,0.221614255871824,0.521284684734521,235.824226964622,215.704070935854,236.483097859735,217.712148870311
239,7.51083185679624,6.88616968642129,7.6455598397981,7.33042612762613,0.13472798300186,0.444256441204845,234.137080391354,228.917909327573,231.737861811057,227.510319795238
240,6.88098352425077,6.32510359095163,7.05416405244611,6.55616079057981,0.173180528195339,0.231057199628174,227.910169937968,217.082375162222,230.733721556904,221.692144692492
241,7.4152766958291,5.92474543580393,7.59430903127312,6.18605291186258,0.17903233544402,0.261307476058652,235.653787666914,212.811416674201,235.74843799607,214.704787513525
242,7.45872924224358,7.70279379767998,7.73489879505698,8.11116472959497,0.276169552813399,0.408370931914989,224.452064557745,219.764399315768,227.38873072723,223.297424415404
243,8.11500450298159,7.13473002649137,8.32630667579197,7.74026584089349,0.211302172810379,0.60553581440212,264.13424906695,257.486876966495,263.972879652054,260.930435006931
244,8.38590782156424,6.84017740825044,8.64267465078529,7.45572382583976,0.256766829221045,0.615546417589319,236.695698556952,225.528126136868,236.433948854473,226.467280167426
245,7.53023025877358,7.56293325449793,7.78449118505586,8.16652787872978,0.254260926282285,0.603594624231849,212.1879169239,205.955690732872,212.339561255449,205.496894364408
246,6.7448217349084,6.05969677346737,7.09566402361513,6.41513410298944,0.350842288706738,0.355437329522074,215.144445713122,200.952926602005,218.360006208581,203.697088240265
247,6.88739116535139,5.82247943290799,7.14431554277688,6.32025218287043,0.256924377425492,0.497772749962442,205.193840370664,186.929946231995,206.1589026013,191.610237416159
248,6.36462792384698,6.00082915105619,6.67218257839182,6.51195991932383,0.307554654544844,0.511130768267642,206.866769495121,201.197187448499,207.610066575942,202.444149697988
249,6.57406777114575,7.17041942153656,6.93937890049604,7.879506985733,0.36531112935029,0.70908756419644,220.129241828807,219.851858340156,223.543545049569,222.588922780675
250,8.19455921563787,6.8498599078292,8.5174467119383,7.48937646405404,0.322887496300426,0.639516556224842,248.035528196469,230.258608745847,247.868494129047,232.973995608229
251,7.82009508696087,7.94181787018529,8.12903537450708,8.53994162431004,0.308940287546212,0.598123754124745,226.471801684252,219.669749880764,226.491596236011,219.795568348148
