"id","camid","image_name","x","y","frame_number","seq_id","number_of_points","DateTimeOriginal","label","siteid","imgid","ImageWidth","ImageHeight","deployment","radius","angle","frame_count","deg","new_seq_id","new_seq","sequence_id","radius_err","pixdiff","dist","dist_err","dist_err_new","timediff","time","speed","speed_err","speed_err_new","frames"
2609,"CAM_50070","MathuAkru-2015-09-12_13-32-17-CAM50070_1.jpg",1058.133333,1322.097801,643,51,10,"2016:07:25 16:37:31","movement","MAK_09","MAK_09 643",2048,1536,"MAK_09",2.339366525,0.016710686,14,0.957522329,"MAK_09-51","Loc4","MAK_09-51-Loc4",2.16634056615868,386.362751325762,1.11186275219576,1.09923309356858,0,1,1,1.11186275219576,1.09923309356858,0,10
2619,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1008.82964,1366.850255,663,52,10,"2016:07:25 16:37:34","movement","MAK_09","MAK_09 663",2048,1536,"MAK_09",2.171904824,-0.007426967,24,-0.425565193,"MAK_09-52","Loc4","MAK_09-52-Loc4",2.05416012106116,115.792553315959,0.216284425477007,0.213145474589956,0,1,1,0.216284425477007,0.213145474589956,0,5
2624,"CAM_50070","MathuAkru-2015-09-12_13-32-59-CAM50070.jpg",1118.814815,1298.583681,668,52,10,"2016:07:25 16:37:35","movement","MAK_09","MAK_09 668",2048,1536,"MAK_09",2.422069283,0.046418574,3,2.659784278,"MAK_09-52","Loc5","MAK_09-52-Loc5",2.2810779511425,225.149322032195,0.575754294696165,0.569535625919716,0,1,1,0.575754294696165,0.569535625919716,0,5
2629,"CAM_50070","MathuAkru-2015-09-12_13-33-26-CAM50070_1.jpg",595.437037,1581.511111,673,53,3,"2016:07:25 16:37:37","movement","MAK_09","MAK_09 673",2048,1536,"MAK_09",1.653783887,-0.209811953,8,-12.02222491,"MAK_09-53","Loc5","MAK_09-53-Loc5",1.78899954523588,50.1363463407139,0.0421768661424764,0.045288712531644,0,0,0,Inf,Inf,NA,3
2632,"CAM_50070","MathuAkru-2015-09-12_13-33-43-CAM50070.jpg",1369.611875,928.0829705,683,54,10,"2016:07:25 16:37:38","movement","MAK_09","MAK_09 683",2048,1536,"MAK_09",7.831602907,0.169201515,11,9.695246796,"MAK_09-54","Loc5","MAK_09-54-Loc5",7.82753574129872,0,0,0,0,0,0,NA,NA,NA,2
2634,"CAM_50070","MathuAkru-2015-09-12_13-33-45-CAM50070.jpg",1369.611875,928.0829705,685,54,10,"2016:07:25 16:37:39","movement","MAK_09","MAK_09 685",2048,1536,"MAK_09",7.831602907,0.169201515,13,9.695246796,"MAK_09-54","Loc8","MAK_09-54-Loc8",7.90938692368474,2.70666699999992,0.016605804470499,0.0166703597349493,0,1,1,0.016605804470499,0.0166703597349493,0,8
2642,"CAM_50070","MathuAkru-2015-09-12_13-34-30-CAM50070.jpg",1804.226695,885.3480081,703,55,10,"2016:07:25 16:37:41","movement","MAK_09","MAK_09 703",2048,1536,"MAK_09",7.902456353,0.381976281,21,21.8872409,"MAK_09-55","Loc8","MAK_09-55-Loc8",7.90110969048999,175.123538377926,1.94798374124565,1.94791762514422,0,1,1,1.94798374124565,1.94791762514422,0,10
2654,"CAM_50070","MathuAkru-2015-09-12_13-37-48-CAM50070_1.jpg",1481.131289,903.8553503,745,56,10,"2016:07:25 16:37:49","movement","MAK_09","MAK_09 745",2048,1536,"MAK_09",8.584919169,0.223798174,5,12.82363537,"MAK_09-56","Loc6","MAK_09-56-Loc6",8.44230488145264,270.385076566124,2.16960688907493,2.15788741998178,0,1,1,2.16960688907493,2.15788741998178,0,8
2652,"CAM_50070","MathuAkru-2015-09-12_13-37-46-CAM50070.jpg",1387.916036,924.3943043,743,56,10,"2016:07:25 16:37:49","movement","MAK_09","MAK_09 743",2048,1536,"MAK_09",7.931118818,0.178162699,3,10.20872267,"MAK_09-56","Loc8","MAK_09-56-Loc8",7.94962027609576,35.6446096423392,0.280750888617687,0.280904701454504,0,0,0,Inf,Inf,NA,2
2664,"CAM_50070","MathuAkru-2015-09-12_13-35-59-CAM50070_2.jpg",273.2034593,1389.196219,739,57,6,"2016:07:25 16:37:48","movement","MAK_09","MAK_09 739",2048,1536,"MAK_09",2.373949297,-0.367568134,15,-21.06165408,"MAK_09-57","Loc2","MAK_09-57-Loc2",2.41898380194381,69.5897895474904,0.0973425903971681,0.0986000426223302,0,0,0,Inf,Inf,NA,4
2662,"CAM_50070","MathuAkru-2015-09-12_13-35-57-CAM50070_2.jpg",270.8607394,1389.196219,737,57,6,"2016:07:25 16:37:48","movement","MAK_09","MAK_09 737",2048,1536,"MAK_09",2.374982995,-0.368715061,13,-21.12737302,"MAK_09-57","Loc6","MAK_09-57-Loc6",2.60602951563952,2.34271990000002,0.00291292078813371,0.0031620663033983,0,0,0,Inf,Inf,NA,2
2668,"CAM_50070","MathuAkru-2015-09-12_13-35-54-CAM50070_1.jpg",109.9851852,1723.353998,733,58,10,"2016:07:25 16:37:47","movement","MAK_09","MAK_09 733",2048,1536,"MAK_09",1.463323189,-0.44747505,19,-25.64032039,"MAK_09-58","Loc2","MAK_09-58-Loc2",1.51263437357182,537.638705818011,0.406375861763214,0.4176387493282,0,1,1,0.406375861763214,0.4176387493282,0,6
2674,"CAM_50070","MathuAkru-2015-09-12_13-35-59-CAM50070_2.jpg",876.0888889,1818.168866,739,58,10,"2016:07:25 16:37:48","movement","MAK_09","MAK_09 739",2048,1536,"MAK_09",1.217529395,-0.072412975,25,-4.149263465,"MAK_09-58","Loc8","MAK_09-58-Loc8",1.08698231904959,133.680986619796,0.0814013269274679,0.0732393249108461,0,0,0,Inf,Inf,NA,4
2678,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1978.925695,916.428595,663,59,10,"2016:07:25 16:37:34","movement","MAK_09","MAK_09 663",2048,1536,"MAK_09",6.031915238,0.467503827,29,26.78796926,"MAK_09-59","Loc8","MAK_09-59-Loc8",6.04981634125685,0,0,0,0,2,2,0,0,0,10
2688,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1567.457204,899.518931,663,60,10,"2016:07:25 16:37:34","movement","MAK_09","MAK_09 663",2048,1536,"MAK_09",8.356197039,0.266060829,7,15.24528553,"MAK_09-60","Loc8","MAK_09-60-Loc8",8.37362971748738,1.87885159999996,0.109344191000048,0.109344190999918,0,2,2,0.054672095500024,0.054672095499959,0,10
2705,"CAM_50070","MathuAkru-2015-09-12_13-32-25-CAM50070.jpg",717.6196943,1059.333158,651,62,8,"2016:07:25 16:37:32","movement","MAK_09","MAK_09 651",2048,1536,"MAK_09",5.415891215,-0.14999488,24,-8.594706641,"MAK_09-62","Loc6","MAK_09-62-Loc6",5.32689990504683,21.3545919469939,0.177595282906916,0.177345571509392,0,0,0,Inf,Inf,NA,2
2699,"CAM_50070","MathuAkru-2015-09-12_13-32-19-CAM50070.jpg",544.1613799,1126.548354,645,62,8,"2016:07:25 16:37:31","movement","MAK_09","MAK_09 645",2048,1536,"MAK_09",4.417650806,-0.234915022,18,-13.46063078,"MAK_09-62","Loc8","MAK_09-62-Loc8",4.49888898676646,162.648839691797,1.01705466094029,1.0192550653252,0,1,1,1.01705466094029,1.0192550653252,0,6
2707,"CAM_50070","MathuAkru-2015-09-12_13-35-03-CAM50070_1.jpg",-330.5370923,1967.041292,713,63,10,"2016:07:25 16:37:42","movement","MAK_09","MAK_09 713",2048,1536,"MAK_09",1.177327383,-0.663141936,26,-37.99803292,"MAK_09-63","Loc6","MAK_09-63-Loc6",1.16949496328545,18.0851995210105,0.0131782422339834,0.0131401779480795,0,2,2,0.00658912111699168,0.00657008897403976,0,8
2715,"CAM_50070","MathuAkru-2015-09-12_13-35-11-CAM50070.jpg",-315.4892969,1957.009428,721,63,10,"2016:07:25 16:37:44","movement","MAK_09","MAK_09 721",2048,1536,"MAK_09",1.18721717,-0.655774973,8,-37.57590596,"MAK_09-63","Loc9","MAK_09-63-Loc9",1.23397354102668,0,0,0,0,1,1,0,0,0,2
9119,"H600HF09165368","IMG_0751.JPG",567.7363766,1133.976389,750,39,2,"2015:09:24 16:50:26","movement","MAK_11","MAK_11 750",1920,1080,"MAK_11",3.18281387,-0.154413666,19,-8.847903037,"MAK_11-39","Loc9","MAK_11-39-Loc9",3.2748720195383,498.774397684206,4.79643958014723,4.79936053221893,0,3,3,1.59881319338241,1.59978684407298,0,2
9121,"H600HF09165368","IMG_0741.JPG",1593.66335,860.3545184,740,40,3,"2015:09:11 15:55:29","movement","MAK_11","MAK_11 740",1920,1080,"MAK_11",4.014246119,0.249440108,1,14.29291819,"MAK_11-40","Loc9","MAK_11-40-Loc9",4.11459014873293,1355.99082352438,9.32608072842413,9.3497378420647,0,3,3,3.10869357614138,3.11657928068823,0,3
9124,"H600HF09165368","IMG_0731.JPG",1544.93578,1341.765014,730,41,3,"2015:09:09 05:09:16","movement","MAK_11","MAK_11 730",1920,1080,"MAK_11",1.940297396,0.230258613,4,13.19381853,"MAK_11-41","Loc6","MAK_11-41-Loc6",1.98654387795655,1560.36537013286,3.95722780268351,3.97263153645402,0,3,3,1.31907593422784,1.32421051215134,0,3
9127,"H600HF09165368","IMG_0711.JPG",2040.332829,1393.650847,710,42,4,"2015:08:30 08:25:36","movement","MAK_11","MAK_11 710",1920,1080,"MAK_11",1.702562814,0.425270513,7,24.36800037,"MAK_11-42","Loc6","MAK_11-42-Loc6",1.71652299955054,2317.00106836631,3.2212483621449,3.23066370020522,0,3,3,1.0737494540483,1.07688790006841,0,4
